Date,Price
12/7/2023,"110,600"
11/7/2023,"110,300"
10/7/2023,"110,300"
7/7/2023,"110,600"
6/7/2023,"110,700"
5/7/2023,"110,600"
4/7/2023,"110,400"
3/7/2023,"110,000"
12/6/2023,"112,400"
9/6/2023,"112,500"
8/6/2023,"111,700"
7/6/2023,"112,700"
6/6/2023,"112,500"
5/6/2023,"111,500"
2/6/2023,"113,300"
1/6/2023,"112,500"
12/5/2023,"110,800"
11/5/2023,"111,600"
10/5/2023,"111,600"
9/5/2023,"111,200"
8/5/2023,"110,900"
5/5/2023,"111,800"
4/5/2023,"111,800"
3/5/2023,"110,600"
2/5/2023,"108,800"
1/5/2023,"109,000"
12/4/2023,"110,800"
11/4/2023,"109,800"
10/4/2023,"109,300"
7/4/2023,"110,000"
6/4/2023,"110,200"
5/4/2023,"111,000"
4/4/2023,"109,000"
3/4/2023,"108,000"
10/3/2023,"101,800"
9/3/2023,"101,000"
8/3/2023,"101,500"
7/3/2023,"102,500"
6/3/2023,"102,800"
3/3/2023,"102,500"
1/3/2023,"102,300"
10/2/2023,"103,600"
9/2/2023,"104,900"
8/2/2023,"104,800"
7/2/2023,"104,600"
6/2/2023,"104,600"
3/2/2023,"106,100"
2/2/2023,"107,500"
1/2/2023,"106,300"
12/1/2023,"103,400"
11/1/2023,"103,200"
10/1/2023,"103,500"
9/1/2023,"103,900"
6/1/2023,"102,300"
5/1/2023,"103,100"
4/1/2023,"102,900"
3/1/2023,"102,600"
2/1/2023,"101,700"
12/12/2022,"100,200"
9/12/2022,"100,300"
8/12/2022,"99,700"
7/12/2022,"99,300"
6/12/2022,"99,300"
5/12/2022,"99,900"
2/12/2022,"99,100"
1/12/2022,"98,100"
11/11/2022,"96,700"
11/10/2022,"95,400"
11/9/2022,"95,400"
11/8/2022,"94,000"
11/7/2022,"94,200"
11/6/2022,"94,500"
11/4/2022,"93,100"
11/3/2022,"93,200"
11/2/2022,"93,600"
11/1/2022,"93,100"
10/31/2022,"93,000"
10/28/2022,"94,000"
10/27/2022,"94,000"
10/26/2022,"94,000"
10/25/2022,"94,000"
10/21/2022,"92,500"
10/20/2022,"93,100"
10/19/2022,"93,200"
10/18/2022,"93,400"
10/17/2022,"93,300"
10/14/2022,"94,100"
10/13/2022,"94,200"
10/12/2022,"94,200"
10/11/2022,"94,000"
10/10/2022,"95,200"
10/6/2022,"96,000"
10/3/2022,"93,000"
9/30/2022,"93,000"
9/29/2022,"92,800"
9/28/2022,"91,600"
9/27/2022,"91,400"
9/26/2022,"91,800"
9/23/2022,"92,800"
9/22/2022,"91,800"
9/21/2022,"91,300"
